St_ID,St_Flag,Name,Elevation,El_Flag,Long,Lat,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Annual
1095000,NA,MCGREGOR,610, ,-121.833333,54.083333,-9999,68,57,81,78,55,94,67,70,107,116,-9999,-9999
1095015,NA,MCLEESE LAKE,563, ,-122.3736,52.37974,36,15,14,19,36,53,48,42,35,36,36,33,403
1095018,NA,MCLEESE LAKE,1123, ,-122.2867,52.53028,40,21,25,31,40,68,59,51,40,44,41,39,500
1095195,NA,MOFFAT CREEK,945, ,-121.483333,52.233333,47,24,27,31,63,75,64,52,43,53,58,49,585
10952B9,NA,MOUNT ROBSON,869, ,-119.233333,53.016667,71,34,35,23,42,56,60,59,54,61,57,65,617
1095676,NA,OCHILTREE MI,1027, ,-121.716667,52.266667,49,24,24,28,48,65,60,49,42,47,52,52,540
1095820,NA,150 MILE HOU,738, ,-121.933333,52.116667,41,16,20,22,56,66,55,36,37,37,38,43,467
1095821,NA,150 MILE HOU,884, ,-122,52.216667,44,24,17,23,46,60,54,41,38,37,44,47,474
1096450,NA,PRINCE GEORG,691, ,-122.6789,53.89083,53,29,30,36,49,65,62,52,56,63,55,44,595
1096455,NA,PRINCE GEORG,699, ,-122.85,53.783333,41,23,25,29,45,70,69,46,47,57,44,39,536
1096458,NA,PRINCE GEORG,762, ,-122.733333,54.05,72,35,35,40,43,65,56,55,61,76,68,58,664
1096465,NA,PRINCE GEORG,610, ,-122.933333,53.966667,67,33,33,34,42,64,54,52,57,68,61,57,623
1096468,NA,PRINCE GEORG,579, ,-122.7675,53.88,59,28,28,34,44,60,56,47,53,60,49,43,560
1096600,NA,QUESNEL,488, ,-122.483333,52.983333,52,23,23,29,45,62,56,52,55,48,44,38,528
1096601,NA,QUESNEL,545, ,-122.516667,53.033333,-9999,-9999,-9999,21,33,-9999,60,41,-9999,-9999,-9999,-9999,-9999
1096625,NA,QUESNEL AWOS,545, ,-122.51,53.02611,34,20,21,37,42,-9999,-9999,-9999,43,45,42,39,-9999
