ID1,ID2,Latitude,Longitude,Elevation
102BFHH,CDFmm,49.20891,-123.808899,4
1048140,CDFmm,49.7,-124.51667,93
541,CDFmm,49.698024,-124.518326,97
546,CDFmm,49.497467,-124.674408,5
547,CDFmm,49.1867,-123.833298,29
T31,CDFmm,49.186389,-123.152496,3
101317,CDFmm,48.820556,-123.59111,0
101322,CDFmm,48.754444,-123.749168,93
110008,CDFmm,49.086667,-123.01889,5
1010066,CDFmm,48.866667,-123.283333,36
1010960,CDFmm,48.6,-123.466667,70
1010961,CDFmm,48.566667,-123.449997,71
1010965,CDFmm,48.566667,-123.433334,59
1011467,CDFmm,48.583333,-123.416664,76
10114F6,CDFmm,48.57334,-123.392097,29
1011500,CDFmm,48.93418,-123.7407,83
1011745,CDFmm,48.65,-123.566666,41
1011810,CDFmm,48.416667,-123.48333,80
1011922,CDFmm,48.516667,-123.366669,17
1012018,CDFmm,48.733333,-123.599998,49
1012190,CDFmm,48.816667,-123.666664,58
1012566,CDFmm,48.783333,-123.683334,8
1012570,CDFmm,48.766667,-123.683334,11
1012573,CDFmm,48.73472,-123.727501,109
1012655,CDFmm,48.516667,-123.383331,89
1012656,CDFmm,48.533333,-123.383331,85
1012710,CDFmm,48.43197,-123.439301,0
1013045,CDFmm,48.9,-123.349998,44
1013051,CDFmm,48.87172,-123.498199,59
10130MN,CDFmm,48.98528,-123.573601,6
1013720,CDFmm,48.6,-123.349998,55
1014931,CDFmm,48.85,-123.316666,40
1015107,CDFmm,48.416667,-123.533333,69
1015136,CDFmm,48.65,-123.550003,0
1015628,CDFmm,48.82472,-123.719704,52
1015638,CDFmm,48.8125,-123.316704,22
1016942,CDFmm,48.5,-123.400002,29
1016980,CDFmm,48.966667,-123.76667,0
1016990,CDFmm,48.85,-123.5,13
1016992,CDFmm,48.816667,-123.48333,128
1016995,CDFmm,48.88806,-123.546402,45
10169DK,CDFmm,48.516667,-123.416664,113
1016RM0,CDFmm,48.5975,-123.4272,43
1017000,CDFmm,48.883333,-123.566666,20
1017098,CDFmm,48.77528,-123.1278,190
1017099,CDFmm,48.77531,-123.127899,192
1017329,CDFmm,48.683333,-123.400002,0
1017610,CDFmm,48.75,-123.216667,55
1018598,CDFmm,48.457,-123.304604,63
1018605,CDFmm,48.47639,-123.4431,78
1018610,CDFmm,48.416667,-123.316666,18
1018611,CDFmm,48.41342,-123.325203,64
1018614,CDFmm,48.466667,-123.300003,31
1018616,CDFmm,48.516667,-123.51667,219
1018617,CDFmm,48.483333,-123.400002,25
1018620,CDFmm,48.64694,-123.425797,21
1018640,CDFmm,48.433333,-123.316666,22
1018651,CDFmm,48.483333,-123.400002,25
1018935,CDFmm,48.33972,-123.538597,10
1018FF6,CDFmm,48.466667,-123.333336,45
1018FJ5,CDFmm,48.53383,-123.459099,152
101C0ME,CDFmm,48.883333,-123.349998,45
101Q6NN,CDFmm,48.516667,-123.433334,53
101QF57,CDFmm,48.466667,-123.333336,45
101QFEG,CDFmm,48.45,-123.366669,21
1021850,CDFmm,49.30583,-124.429199,95
1022430,CDFmm,49.516667,-124.783333,66
1022436,CDFmm,49.55,-124.800003,63
1022571,CDFmm,48.75585,-123.765297,91
1023042,CDFmm,49.15389,-123.733597,49
1023590,CDFmm,49.533333,-124.599998,0
1024638,CDFmm,49.35278,-124.512199,25
1024642,CDFmm,49.366667,-124.5,0
1025340,CDFmm,49.183333,-123.966667,83
1025377,CDFmm,49.25,-124.183334,132
10253G0,CDFmm,49.19889,-123.987801,104
10253P0,CDFmm,49.166667,-123.933334,8
1025C70,CDFmm,49.216667,-123.949997,58
1026562,CDFmm,49.33722,-124.393898,55
1027403,CDFmm,49.48661,-124.434898,4
102PG75,CDFmm,49.083333,-123.800003,37
1046390,CDFmm,49.883333,-124.550003,126
1046400,CDFmm,49.8,-124.51667,0
1046410,CDFmm,49.833333,-124.51667,69
1102419,CDFmm,49.083333,-122.916664,4
1102422,CDFmm,49.116667,-122.916664,8
1102425,CDFmm,49.011111,-123.09333,5
1045100,CDFmm,49.46,-123.910004,0
1102417,CDFmm,49.066667,-123.083336,2
56,CDFmm,49.4367,-124.7033,117
59,CDFmm,49.0483,-123.875,35
60,CDFmm,48.7783,-123.4533,135
52,CDFmm,49.3,-124.300003,77
43,CDFmm,49.268151,-124.206306,41
45,CDFmm,48.774,-123.473999,20
101HFEE,CDFmm,48.45,-123.260002,0
1102424,CDFmm,49.0167,-123.099998,0
1107879,CDFmm,49.05,-122.76667,90
1107H7R,CDFmm,49.033333,-122.76667,59
1107710,CDFmm,49.133333,-123.183334,3
450729,CDFmm,49.01,-122.75,19
1104470,CDFmm,49.083333,-123.01667,4
1104477,CDFmm,49.066667,-123.116669,2
1104484,CDFmm,49.083333,-123.099998,4
1104553,CDFmm,49.033333,-122.666664,72
1106762,CDFmm,49.15,-123.116669,5
1106763,CDFmm,49.133333,-123.133331,4
1106P6N,CDFmm,49.15,-123.166664,4
1106PF7,CDFmm,49.17083,-123.093102,8
1107010,CDFmm,49.1059,-123.303398,0
1108447,CDFmm,49.195,-123.1819,5
1108910,CDFmm,49.01806,-122.783897,11
1108913,CDFmm,49.04222,-122.876404,48
110FK0M,CDFmm,49.016667,-123.583336,0
E231866,CDFmm,48.441944,-123.363052,32
1012710,CDFmm,48.43,-123.43,21
1014530,CDFmm,48.433333,-123.533333,80
1018660,CDFmm,48.45,-123.383331,27
1022689,CDFmm,49.21667,-123.800003,0
1025370,CDFmm,49.05222,-123.8703,29
1026565,CDFmm,49.39361,-124.617203,6
1027110,CDFmm,49.933333,-124.849998,0
T17,CDFmm,49.141667,-123.108055,5
T17,CDFmm,49.141667,-123.108055,5
45,CDFmm,48.774,-123.473999,20
56,CDFmm,49.4367,-124.7033,117
59,CDFmm,49.0483,-123.875,35
