"BGC","STATION","Latitude","Longitude","Elevation","Name","AHM","MAP","MAT","MCMT","MSP","MWMT","PPT_at","PPT_sm","PPT_sp","PPT_wt","SHM","Tave_at","Tave_sm","Tave_sp","Tave_wt","TD","Tmax_at","Tmax_sm","Tmax_sp","Tmax_wt","Tmin_at","Tmin_sm","Tmin_sp","Tmin_wt"
"CWHxm2","102302",50.186667,-126.394722,401,"MT CAIN 12SS",NA,NA,-0.31477333333333,0.05084,NA,-0.857319999999998,NA,NA,NA,NA,NA,0.0798000000000005,-0.8239466666667,-0.40881333333333,-0.0564933333333302,-0.910160000000001,0.2529733333333,-0.816613333333301,-0.6559733333333,0.0436133333333304,-0.0928933333333299,-0.831479999999999,-0.16109333333333,-0.15588
"CWHxm2","101414",48.902778,-124.243614,345,"COTTONWOOD C",NA,NA,NA,NA,NA,0.842680000000001,NA,NA,NA,NA,NA,0.729800000000001,0.709386666666699,0.891186666666671,NA,NA,0.852973333333301,1.8500533333333,1.2106933333333,NA,0.60710666666667,-0.431479999999999,0.57224,NA
"CWHxm2","102022",50.257778,-125.439163,250,"ELK BAY",NA,NA,0.59356,0.80084,NA,0.192679999999999,NA,NA,NA,NA,NA,0.24646666666667,0.5593866666667,1.30785333333333,0.31017333333333,-0.61016,-0.913693333333301,-0.449946666666701,0.17736,-0.45638666666667,1.40710666666667,1.56852,2.43890666666667,1.07745333333333
"ESSFdc2","29092",49.90672,-120.013359,1703,"Pennask Summ",NA,NA,-1.02774,-0.445360000000001,NA,-1.02536,NA,NA,NA,NA,NA,-1.60634666666667,-0.7102133333333,-0.91216,-0.8124,-0.579120000000003,-1.58102666666667,0.142986666666701,-0.4136,-1.11638666666667,-1.62902666666667,-1.56433333333333,-1.41072,-0.509133333333301
"ESSFdcw","113022",49.733333,-118.933334,2042,"BIG WHITE",NA,NA,0.51601333333333,0.34728,NA,1.29108,NA,NA,NA,NA,NA,0.85830666666667,1.51588,0.098413333333333,-0.33678666666667,0.943760000000001,0.451239999999999,2.0955333333333,0.12165333333333,-1.13236,1.26585333333333,0.93698666666667,0.0745733333333298,0.4571466666667
"ESSFdk2","37121",51.31514,-116.878471,1846,"Kicking Hors",NA,NA,0.80555333333333,1.4952,NA,0.731919999999999,NA,NA,NA,NA,NA,0.31876,1.15988,1.05465333333333,0.760199999999999,-0.764040000000001,-0.58952,0.257720000000003,0.25022666666667,0.104439999999999,1.22648,2.06376,1.85692,1.419
"ESSFdkw","423",49.4562,-115.626297,2176,"BAKER HUB (W",NA,NA,-1.98656,0.204600000000001,NA,-2.19752,NA,NA,NA,NA,NA,-2.41490666666667,-2.54193333333333,-2.69481333333333,-0.215986666666671,-2.4002,-3.84849333333333,-4.2357466666667,-4.67822666666667,-1.46673333333333,-0.98424,-0.84944,-0.71104,1.0338
"ESSFdvw","BLN",50.799278,-122.745247,1988,"Bralorne Upp",NA,NA,-0.127726666666667,1.53696,NA,-0.820880000000001,NA,NA,NA,NA,NA,-0.054786666666667,-0.581119999999999,-0.48144,0.667000000000001,-2.35912,-0.0542000000000007,-1.07804,-0.86205333333333,0.65625333333333,-0.0548933333333297,-0.0827600000000004,-0.10246666666667,0.678306666666671
"ESSFmc","1B01P",53.733,-126.417,1471,"Mount Wells",NA,NA,0.38382,2.98572,NA,-0.590199999999999,NA,NA,NA,NA,NA,0.0993333333333301,-0.68352,0.34256,1.82390666666667,-3.57608,0.60774666666667,-0.377080000000001,1.15678666666667,2.08972,-0.41056,-0.99008,-0.47082666666667,1.5570533333333
"ESSFmc","107255",54.451389,-126.656944,1214,"HARRY",NA,NA,0.98382,2.88572,NA,1.0598,NA,NA,NA,NA,NA,0.716,1.0998133333333,0.97589333333333,1.19057333333333,-1.82608,-0.39225333333333,0.32292,-0.24321333333333,-0.37694666666667,1.82277333333333,1.87658666666667,2.19584,2.75705333333333
"ESSFmh","33122",49.24368,-118.052048,1540,"Paulson Summ",NA,NA,-0.21404,0.02196,NA,-0.241239999999999,NA,NA,NA,NA,NA,-0.61188,0.179066666666699,-0.0818133333333302,-0.26853333333333,-0.262720000000002,-0.0773333333333301,0.782346666666701,0.16989333333333,0.0357599999999998,-1.14746666666667,-0.421893333333331,-0.33356,-0.57318666666667
"ESSFmh","32221",49.20444,-117.896637,1576,"Strawberry P",NA,NA,0.35262666666667,-0.0280400000000007,NA,0.60876,NA,NA,NA,NA,NA,0.0547866666666699,0.9124,0.43485333333333,0.0814666666666701,0.637280000000001,0.656,1.41568,0.76989333333333,0.40242666666667,-0.54746666666667,0.41144,0.0997733333333302,-0.239853333333331
"ESSFmk","1B08P",53.167,-126.866997,1331,"Mt. Pondosy",NA,NA,0.24222,1.66868,NA,-0.31432,NA,NA,NA,NA,NA,-0.33784,-0.20112,0.63374666666667,0.918093333333331,-1.98228,-0.424946666666671,-0.127759999999999,1.21609333333333,0.87329333333333,-0.24921333333333,-0.27152,0.0530400000000002,0.96265333333333
"ESSFmv2","118621",55.65,-122.033333,1319,"PINE 4500",NA,NA,NA,NA,NA,0.790320000000001,NA,NA,NA,NA,NA,-0.876213333333333,0.93848,0.19484,NA,NA,-1.70213333333333,0.139386666666702,-0.83390666666667,NA,-0.0488533333333296,1.73469333333333,1.22322666666667,NA
"ESSFmw1","15322",49.11528,-120.870003,1344,"Allison Pass",NA,NA,-0.21485333333333,-1.24244,NA,-0.07456,NA,NA,NA,NA,NA,-0.31313333333333,0.1857066666667,0.43945333333333,-1.10408,1.16772,1.07054666666667,2.5994533333333,2.26856,-0.11370666666667,-1.69741333333333,-2.22988,-1.39293333333333,-2.0925733333333
"ESSFmw1","15392",49.11564,-120.867439,1342,"Allison Pass",NA,NA,0.02681333333333,-0.84244,NA,-0.17456,NA,NA,NA,NA,NA,0.08686666666667,0.402373333333301,0.53945333333333,-0.85408,0.667719999999999,1.60388,2.7327866666667,2.36856,0.35296,-1.43074666666667,-1.92988,-1.29293333333333,-2.05924
"ESSFmwp","26221",50.40694,-122.255562,2307,"Blowdown Pea",NA,NA,NA,-0.78028,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.1086,-1.84585333333333,NA,NA,NA,-5.25526666666667,-3.06748,NA,NA,-0.960093333333329,-0.6235066666667
"ESSFmww","26222",50.40222,-122.264717,1892,"Blowdown Mid",NA,NA,NA,0.0670799999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.619746666666667,-0.74001333333333,NA,NA,NA,-0.53201333333333,-1.22789333333333,NA,NA,-0.70528,-0.251573333333329
"ESSFun","53122",56.77667,-129.972534,1057,"Snowbank Mid",NA,NA,0.9068,3.71656,NA,0.472200000000001,NA,NA,NA,NA,NA,0.034653333333333,0.3820933333333,1.14509333333333,2.1148,-3.246,-0.97776,0.369093333333298,0.37361333333333,0.51708,1.04570666666667,0.39305333333333,1.91493333333333,3.71168
"ESSFun","4D08P",56.95,-130.783005,689,"Forrest Kerr",NA,NA,NA,2.56656,NA,0.8222,NA,NA,NA,NA,NA,NA,0.7154266666667,2.22842666666667,1.33146666666667,-1.746,NA,1.93576,3.44028,2.21708,NA,-0.50694666666667,1.01493333333333,0.4450133333333
"ESSFun","53123",56.94667,-130.106934,1185,"Gamma",NA,NA,NA,3.41656,NA,NA,NA,NA,NA,NA,NA,0.134653333333333,NA,0.41176,1.74813333333333,NA,-0.57776,NA,-0.55972,0.25041333333333,0.84570666666667,NA,1.3816,3.2450133333333
"ESSFun","4D11P",57.5667,-130.25,1049,"Kinaskan Lak",NA,NA,-0.164033333333333,0.966559999999999,NA,-0.227799999999998,NA,NA,NA,NA,NA,-0.315346666666667,-0.2679066666667,0.095093333333333,-0.11853333333333,-1.196,-0.0777600000000001,0.2690933333333,1.00694666666667,0.48374666666667,-0.55429333333333,-0.80694666666667,-0.8184,-0.7216533333333
"ESSFvc","38323",51.51833,-118.46167,1750,"Caribou Ridg",NA,NA,-0.79895333333333,-0.121120000000001,NA,-0.620760000000001,NA,NA,NA,NA,NA,-0.8388,-0.374133333333301,-0.988453333333333,-0.91630666666667,-0.50048,-1.16517333333333,-0.9907866666667,-1.83652,-0.87353333333333,-0.51362666666667,0.239920000000001,-0.14110666666667,-0.960840000000001
"ESSFvc","38222",51.19333,-117.771111,1610,"Corbin Pass",NA,NA,0.25521333333333,0.72888,NA,0.229240000000001,NA,NA,NA,NA,NA,0.27786666666667,0.475866666666699,0.29488,0.0503599999999995,-0.50048,0.134826666666671,0.0425466666666985,0.0968133333333299,-0.17353333333333,0.41970666666667,0.90658666666667,0.49222666666667,0.27249333333333
"ESSFwcp","109971",53.616667,-121.01667,1713,"DOME MTN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.86678666666667,NA,NA,NA,NA,-2.46526666666667,NA,NA,NA,0.73205333333333,NA
"ESSFwcw","34129",50.04931,-117.228668,2177,"London Ridge",NA,NA,NA,0.0445200000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.321546666666667,-0.419040000000001,NA,NA,NA,-0.67126666666667,-0.64932,NA,NA,0.0292133333333302,-0.189
"ESSFwcw","34128",50.04589,-117.23481,2063,"London Ridge",NA,NA,NA,0.594520000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54512,0.0809600000000001,NA,NA,NA,0.528733333333331,-0.14932,NA,NA,0.562546666666671,0.311
"ESSFwh1","38424",50.70806,-117.754997,1546,"Galena Pass",NA,NA,0.35568,0.30768,NA,0.82724,NA,NA,NA,NA,NA,-0.00558666666666996,1.1475466666667,0.52442666666667,-0.17378666666667,0.517319999999998,-0.86850666666667,0.72916,-0.59673333333333,-1.20822666666667,0.858213333333333,1.56417333333333,1.64782666666667,0.86041333333333
"ESSFwm3","39123",49.07161,-117.083893,2152,"Stagleap",NA,NA,NA,-0.35388,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.53314666666667,-0.96534666666667,NA,NA,NA,-1.77990666666667,-0.84041333333333,NA,NA,-1.28678666666667,-1.09148
"ESSFwm4","2C10P",49.25,-115.766998,1912,"Moyie Mounta",NA,NA,-0.21268,0.00647999999999982,NA,0.00619999999999976,NA,NA,NA,NA,NA,-0.33516,0.3657066666667,-0.361546666666666,-0.45068,-0.000679999999999126,-1.00510666666667,-0.764253333333297,-1.43024,-1.19181333333333,0.33410666666667,1.49598666666667,0.70746666666667,0.29293333333333
"ESSFxc1","24126",49.39693,-119.900803,1745,"Apex Roadsid",NA,NA,0.64400666666667,0.60228,NA,1.03016,NA,NA,NA,NA,NA,0.43122666666667,1.3067466666667,0.71490666666667,0.18830666666667,0.428359999999998,0.0582133333333301,1.0091866666667,0.20194666666667,-0.41356,0.80296,1.60450666666667,1.22662666666667,0.791133333333329
"ESSFxc3","NTY",51.147528,-122.793915,1947,"North Tyaugh",NA,NA,-1.05598666666667,0.67704,NA,-1.59036,NA,NA,NA,NA,NA,-1.19053333333333,-1.34325333333333,-1.17372,-0.45044,-2.26788,-1.30722666666667,-1.4890933333333,-1.09677333333333,-0.5718,-1.0758,-1.19729333333333,-1.24942666666667,-0.329479999999998
"ICHdw1","34621",49.71444,-116.907219,607,"Coffee Creek",NA,NA,1.62908,1.71944,NA,1.28472,NA,NA,NA,NA,NA,1.76470666666667,1.6937466666667,1.7044,1.42254666666667,-0.436640000000001,0.8304266666667,0.6806533333333,1.0037866666667,0.95649333333333,2.70134666666667,2.70752,2.40573333333333,1.8888
"ICHdw1","31091",49.37333,-117.2425,866,"Hall Creek",NA,NA,NA,-0.73056,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.41226666666667,-0.94412,NA,NA,NA,1.03712,-0.110173333333333,NA,NA,-1.86093333333333,-1.77786666666667
"ICHmc1","107312",55.716667,-128.770828,563,"KINSKUCH",NA,NA,NA,NA,NA,-1.54532,NA,NA,NA,NA,NA,NA,-1.5157866666667,-0.90853333333333,NA,NA,NA,-2.9289866666667,-2.96518666666667,NA,NA,-0.10166666666667,1.14948,NA
