STATION,PPT_sp,PPT_sm,PPT_at,PPT_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmax_wt,Tmin_sp,Tmin_sm,Tmin_at,Tmin_wt,Tave_sp,Tave_sm,Tave_at,Tave_wt,MSP,MAP,MAT,MWMT,MCMT,TD,AHM,SHM
3060321,91,250,80,59,9.366666667,21.46666667,7.5,-6.8,-2.7,9.166666667,-2.566666667,-16.7,3.333333333,15.31666667,2.466666667,-11.75,67,480,2.341666667,16.35,-13.3,29.65,25.71180556,244.0298507
3060353,NA,275,NA,NA,NA,17.26666667,NA,NA,NA,6.9,NA,NA,NA,12.08333333,NA,NA,NA,NA,NA,13.1,NA,NA,NA,NA
93580,302,88,247,477,7.333333333,20.46666667,8.933333333,-1.533333333,-3.633333333,7.9,-0.166666667,-8.833333333,1.85,14.18333333,4.383333333,-5.183333333,40.6,1114,3.808333333,16.3,-5.8,22.1,12.39527229,401.4778325
111,NA,79,NA,NA,6.1,17.73333333,4.533333333,-7.3,-5.366666667,6,-3.633333333,-15.93333333,0.366666667,11.86666667,0.45,-11.61666667,24,NA,0.266666667,12.95,-13.4,26.35,NA,539.5833333
118600,NA,NA,NA,NA,10.43333333,23.1,8.6,NA,-3.066666667,7.3,-2.433333333,NA,3.683333333,15.2,3.083333333,NA,NA,NA,NA,16.3,NA,NA,NA,NA
118603,64,192,NA,NA,9.966666667,22.73333333,7.866666667,-8.2,-3,7.566666667,-2.466666667,-16.53333333,3.483333333,15.15,2.7,-12.36666667,55.2,NA,2.241666667,16.3,-13.9,30.2,NA,295.2898551
118604,NA,NA,NA,NA,8.833333333,21.33333333,7.033333333,-7.266666667,-3.733333333,6.466666667,-3.566666667,-17.6,2.55,13.9,1.733333333,-12.43333333,NA,NA,1.4375,15.1,-14.25,29.35,NA,NA
167,NA,147,NA,NA,NA,19.66666667,NA,NA,NA,3.433333333,NA,NA,NA,11.55,NA,NA,44.2,NA,NA,12.5,NA,NA,NA,282.8054299
836,NA,96,NA,NA,NA,24.76666667,NA,NA,NA,8.333333333,NA,NA,NA,16.55,NA,NA,28.8,NA,NA,17.9,NA,NA,NA,621.5277778
20389,116,134,65,34,13.96666667,26.43333333,14.96666667,4.133333333,-1.3,8.533333333,-0.5,-9.3,6.333333333,17.48333333,7.233333333,-2.583333333,47.2,349,7.116666667,19,-3.4,22.4,49.04489016,402.5423729
20390,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500464,254,399,608,361,9.766666667,18.1,8.266666667,1.066666667,1.466666667,9.7,3.3,-3.4,5.616666667,13.9,5.783333333,-1.166666667,148.6,1622,6.033333333,14.5,-1.9,16.4,9.884915742,97.57738896
3010410,NA,342,NA,NA,NA,19.1,NA,NA,NA,8.3,NA,NA,NA,13.7,NA,NA,NA,NA,NA,14.85,NA,NA,NA,NA
20391,120,135,97,69,11.16666667,24.46666667,11.86666667,-0.2,-2.066666667,7.766666667,-0.633333333,-9.7,4.55,16.11666667,5.616666667,-4.95,46.4,421,5.333333333,17.65,-5.85,23.5,36.42121932,380.387931
109040,NA,NA,NA,NA,NA,24.3,NA,NA,NA,8.733333333,NA,NA,NA,16.51666667,NA,NA,NA,NA,NA,17.55,NA,NA,NA,NA
12874,235,131,220,282,14.53333333,27.86666667,14.4,1.766666667,1.3,8.666666667,1.966666667,-4.266666667,7.916666667,18.26666667,8.183333333,-1.25,49.4,868,8.279166667,20,-2.7,22.7,21.05894777,404.8582996
12875,257,125,245,309,13.23333333,26.63333333,12.93333333,0.666666667,1.4,9.333333333,2.4,-4.3,7.316666667,17.98333333,7.666666667,-1.816666667,51,936,7.7875,19.3,-2.65,21.95,19.00373932,378.4313725
